AmountMst	CategoryId	DisplayValue	dataAreaId
-1085.45	83017		6005
-29343.75	75035		6005
4930	75020		6005
-4850	75020		6005
-39259.93	83017		6005
-756.36	83012		6005
-551.32	99004		6005
-85000	75020		6005
-4100	82002	13100	6005
-7020	83017		6005
-10451.25	75035		6005
-35000	75035		6005
-20830	75020		6005
-4415	75080		6005
-6000	75125		6005
15000	75035		6005
-19675	82002	13100	6005
-2992.5	75040		6005
-13000	75125		6005
10451.25	75035		6005
11120	82002	13100	6005
19675	82002	13100	6005
35000	75035		6005
20830	75020		6005
1085.45	99004		6005
39259.93	99004		6005
6000	75125		6005
4415	75080		6005
756.36	99004		6005
85000	75020		6005
-206040.14	88002		6005
-13061.4	82007	13100	6005
-36500	82013		6005
-990	82010	13100	6005
-36	82009	13100	6005
-12.72	82009	13100	6005
12.72	82009	13100	6005
-12.72	82006		6005
-336.81	82016	13100	6005
-14287	82003	13100	6005
-12117.75	83005		6005
-45.96	82007	13100	6005
-22888.53	81002	13100	6005
-109420.98	82013		6005
-2970	82010	13100	6005
-1010.45	82016	13100	6005
206095.38	88002		6005
-36771.55	83005		6005
-42861	82003	13100	6005
-2856.81	81002	13100	6005
-2333.23	81002	13100	6005
-13664.58	81002	13100	6005
-169806.7	81002	13100	6005
-990	82010	13100	6005
-100211.3	81002	13100	6005
-4353.8	82007	13100	6005
-36095.13	81002	13100	6005
-86240.99	81002	13100	6005
-253174.02	81002	13100	6005
-470509.66	81002	13100	6005
-431327	81002	13100	6005
-418.29	83005		6005
-79.02	82013		6005
-14287	82003	13100	6005
-36	82009	13100	6005
-12117.75	83005		6005
-36500	82013		6005
-137675.19	81002	13100	6005
9940	82007	13100	6005
4950	82010	13100	6005
18250	82013		6005
18250	82013		6005
11829	82007	13100	6005
36000	82003	13100	6005
-4353.8	82007	13100	6005
30040	83005		6005
18250	82013		6005
18250	82013		6005
18250	82013		6005
30040	83005		6005
-127.72	82006		6005
127.72	82006		6005
-12.72	82006		6005
-45.96	82007	13100	6005
-336.81	82016	13100	6005
14287	82003	13100	6005
-14287	82003	13100	6005
18250	82013		6005
-2272.73	99004		6005
20833.33	86001		6005
20833.33	86001		6005
20833.33	86001		6005
20833.33	86001		6005
20833.33	86001		6005
361.12	81002	13100	6005
8185.61	99004		6005
408.59	83017		6005
113.71	83005		6005
300	85001	13100	6005
-14400	82003	13100	6005
14400	82003	13100	6005
14400	82003	13100	6005
300	85001	13100	6005
300	85001	13100	6005
847	85001	13100	6005
18000	82003	13100	6005
-18000	82003	13100	6005
726	85001	13100	6005
900	85001	13100	6005
11692	82003	13100	6005
7200	82003	13100	6005
16543	82003	13100	6005
10851.91	82003	13100	6005
79	82007	13100	6005
79	82007	13100	6005
12874	77500		6005
452695.34	71110		6005
1394965	81002	13100	6005
20.21	82004	13100	6005
4257	77500		6005
1800	82014		6005
2400	85003		6005
837	77500		6005
127.1	83005		6005
142.13	83005		6005
418.29	83005		6005
7	99004		6005
52384.09	81002	13100	6005
8000	75035		6005
330.91	81002	13100	6005
2090.91	81002	13100	6005
5500	75035		6005
885.5	99004		6005
1870	99004		6005
650	99004		6005
80.72	82004	13100	6005
683.95	82016	13100	6005
37.05	99004		6005
15000	75020		6005
12000	75020		6005
4208	75020		6005
3000	75020		6005
20000	75020		6005
1780	75020		6005
3029	75020		6005
26043.75	75035		6005
2305	75035		6005
502.5	75035		6005
17293.75	75035		6005
1745	75035		6005
1696.28	99004		6005
5333.75	75035		6005
990	75035		6005
7338.75	75035		6005
6670	81005	13100	6005
5894.47	77500		6005
4545.45	99004		6005
42.67	99004		6005
125.82	83005		6005
71.82	82007	13100	6005
945	99004		6005
9500	99004		6005
192	77500		6005
1462.5	75035		6005
7150	82001		6005
4403	77500		6005
722.73	81002	13100	6005
8988.75	75035		6005
97.39	82016	13100	6005
240	85001	13100	6005
3890	75030	13100	6005
3779	75125		6005
4046	75030	13100	6005
531	81002	13100	6005
2992.5	75040		6005
24260.86	75035		6005
646.86	81002	13100	6005
3286.55	75035		6005
-3286.55	75035		6005
20450	82004	13100	6005
2031.25	75035		6005
885	75035		6005
20450	82004	13100	6005
2000	82004	13100	6005
6585.7	81002	13100	6005
3950	82002	13100	6005
2895.42	75020		6005
9206.4	75020		6005
2460.94	75020		6005
812.5	75035		6005
2390	75020		6005
90	82009	13100	6005
667.5	75020		6005
4538.15	75020		6005
15318.59	99004		6005
12679.17	99004		6005
13567.93	75020		6005
8840.5	75020		6005
640	82016	13100	6005
1000	82006		6005
32.73	81002	13100	6005
449	82006		6005
1000	82006		6005
1000	82006		6005
275.45	81002	13100	6005
351.59	81002	13100	6005
1000	82006		6005
269.77	82005		6005
18.18	81002	13100	6005
1000	82006		6005
717.48	82004	13100	6005
1000	82006		6005
2514.4	81002	13100	6005
869.09	81002	13100	6005
700.17	82004	13100	6005
1000	82006		6005
202.71	82005		6005
150	82005		6005
38.5	99004		6005
10874.18	75020		6005
945.11	81002	13100	6005
1950	75035		6005
759	87001		6005
328.9	82005		6005
26.02	81002	13100	6005
1146.81	81002	13100	6005
1950	75035		6005
90	82009	13100	6005
744.55	81001		6005
950	82004	13100	6005
7425.25	75035		6005
2263	75035		6005
207.27	81002	13100	6005
243	81002	13100	6005
1298.75	75035		6005
63.59	82006		6005
50.91	99004		6005
127.27	99004		6005
50.91	99004		6005
50.91	99004		6005
335	75035		6005
2355	75035		6005
1340	75035		6005
296.7	85502	13100	6005
4940	75035		6005
856.25	75035		6005
65.81	81004	13100	6005
1.65	81004	13100	6005
1500	99004		6005
5443.75	75035		6005
5810	75035		6005
4000	75030	13100	6005
2000	75020		6005
49.9	82004	13100	6005
8400	75020		6005
37800	75020		6005
134.59	81002	13100	6005
19600	75020		6005
45000	75020		6005
18.23	82004	13100	6005
4000	75030	13100	6005
88800	75020		6005
29700	75020		6005
1532.96	85502	13100	6005
12358.75	75035		6005
2250	82012	13100	6005
13477.63	82012	13100	6005
9940	81002	13100	6005
5575.3	82012	13100	6005
3475	82012	13100	6005
1140	81002	13100	6005
340	82016	13100	6005
340	82016	13100	6005
42640	75035		6005
613.81	75020		6005
3376.09	75020		6005
3065.25	75020		6005
1882.73	75020		6005
14605.78	81002	13100	6005
1682.57	75020		6005
4921.54	75020		6005
1122.89	81002	13100	6005
1867.81	75020		6005
440.67	75020		6005
2643.13	81002	13100	6005
1602.22	75020		6005
1615	82016	13100	6005
680	80004	13100	6005
16810	81002	13100	6005
51750	75020		6005
62700	81002	13100	6005
872.89	82012	13100	6005
70202.44	75035		6005
599.89	82012	13100	6005
66114	82012	13100	6005
1393	82012	13100	6005
8760	81002	13100	6005
3636.36	81002	13100	6005
4110	81002	13100	6005
3000	75030	13100	6005
15000	75020		6005
81000	75020		6005
1532.96	85502	13100	6005
5000	75020		6005
8500	75020		6005
40500	75020		6005
1483.52	80001		6005
6500	75020		6005
40500	75020		6005
37300	81002	13100	6005
8258	75125		6005
32500	75020		6005
65700	75020		6005
18750	81002	13100	6005
1532.96	82003	13100	6005
13702	99001	13100	6005
3125	81002	13100	6005
13100	75020		6005
5000	75125		6005
26000	75020		6005
11000	75020		6005
2700	75020		6005
15000	75020		6005
3125	81002	13100	6005
423.82	82007	13100	6005
374.72	82007	13100	6005
7600	75020		6005
374.72	82007	13100	6005
1830	75125		6005
18250	82013		6005
18250	82013		6005
18250	82013		6005
18250	82013		6005
-151852.18	99004		6005
151852.18	99004		6005
19974.99	85011		6005
1058.4	81002	13100	6005
62.87	81003	13100	6005
62.87	81003	13100	6005
-62.87	81003	13100	6005
59.66	81004	13100	6005
172.52	82013		6005
7900	81002	13100	6005
10000	75020		6005
685.55	81002	13100	6005
4930	75020		6005
20000	75035		6005
5000	75030	13100	6005
-5000	99004		6005
5000	99004		6005
6765	81002	13100	6005
22573	81002	13100	6005
26.36	99004		6005
81.82	99004		6005
5000	75030	13100	6005
250	75030	13100	6005
900	99004		6005
2000	99004		6005
11500	81002	13100	6005
10000	99004		6005
5820	82004	13100	6005
1800	81003	13100	6005
2744	81002	13100	6005
4415	75080		6005
3200	75015		6005
1200	88002		6005
6000	82011	13100	6005
900	75015		6005
1021.08	99004		6005
850	99004		6005
1021.08	99004		6005
1021.08	99004		6005
1021.08	99004		6005
13000	75045		6005
1021.08	99004		6005
450	99004		6005
600	75035		6005
384.58	99004		6005
1021.08	99004		6005
1021.08	99004		6005
2934.8	81002	13100	6005
1021.08	99004		6005
953.35	81002	13100	6005
1891.37	81002	13100	6005
-499.95	99004		6005
499.95	99004		6005
750.56	81002	13100	6005
657.04	81002	13100	6005
3850	81003	13100	6005
