CategoryId	CategoryName
42010	Internal Sales Residential
42011	Internal Sales Residential - Sales Adj
42050	External Sales - Residential
42051	External Sales Residential - Sales Adj
42099	Sales - Rescinded Contracts
43010	Internal Sales - Commercial
43011	Internal Sales Adjustments - Comm
43050	External Sales - Commercial
43051	External Sales Adjustments - Comm
48000	Other Revenue
49000	GST On Sales
51005	GEODEPO Incentive
51010	GEOFIRST-FirstHomeOwner
51015	GEOINVEST-Investors
51020	GEOVISA-Visa incentive
51025	Investor Initiative
51030	Investor Rent incent
51035	Incentive - Other
51040	Visa Incentives
51045	GEOGOLD - Gold Club Member
51900	Rebates
52005	Upfront Commission - External - Residential
52010	Bonus Commission - External - Residential
52015	Settlement Commission - External Agent - Residential
53005	Upfront Commission - Internal - Residential
53010	Bonus Commission - Internal - Residential
53015	Settlement Commission - Internal Agent - Residential
54005	Conveyancing
61105	Land at Cost
61110	Stamp Duty
61115	LDA Penalty Interest
61405	Land Tax
61410	Council Rates
61415	Water Rates
61420	Interest - Late payment charges
61425	Body Corp Levies
61430	Property Management Fees
61435	Utilities
61440	Property R&M
61900	Lease Variation Charge
71105	Construction Claims - External
71110	Construction Claims - Internal
71205	Construction Fit Out - External
71210	Construction Fit Out - Internal
72005	Offsite Work Costs - External
72010	Offsite Work Costs - Internal
72099	"Furniture, Fixtures & Equipments"
73000	Contingency
73005	Construction Variations - External
73010	Construction Variations - Internal
75005	Accessibility Consultant
75010	Acoustic
75015	Arborist
75020	Architect
75025	Certifier
75030	Community Consult
75035	Government Fees - Devt. Application
75040	Energy Consultant
75045	EER Consultant
75050	Heritage consultants
75055	Environmental Consultant
75060	Fire Engineering
75065	Landscape Architect
75070	Other Professional Fees / Consultants
75075	Cost Plan / Quantity Surveyor
75080	Engineer - Electrical
75085	Engineer - Hydraulic
75090	Engineer - Mechanical
75095	Engineer - Civil
75100	Engineer- Structural
75105	Surveyor
75110	Sustainability
75115	Town Planner (Statutory)
75120	Traffic Engineer
75125	Valuation Fees
