DisplayValue	ProjCategoryRelation
13100	
13100	47000
13100	51005
13100	51010
13100	51015
13100	51020
13100	51025
13100	51030
13100	51035
13100	51040
13100	51045
13100	51050
13100	51700
13100	51900
13100	52005
13100	52008
13100	52010
13100	52013
13100	52015
13100	52018
13100	53005
13100	53008
13100	53010
13100	53013
13100	53015
13100	53018
13100	53050
13100	54005
13100	54010
13100	54015
13120	61105
13120	61110
13100	61115
13100	61405
13100	61410
13100	61415
13100	61420
13100	61425
13100	61430
13100	61435
13100	61440
13100	61900
13100	71105
13100	71110
13100	71205
13100	71210
13100	71305
13100	72005
13100	72010
13100	72099
13100	73000
13100	73005
13100	73010
13100	75005
13100	75010
13100	75015
13100	75020
13100	75025
13100	75030
13100	75035
13100	75040
13100	75045
13100	75050
13100	75060
13100	75065
13100	75070
13100	75075
13100	75080
13100	75085
13100	75090
13100	75095
13100	75100
13100	75105
13100	75110
13100	75115
13100	75120
13100	75125
13100	75130
13100	75900
13110	77500
14110	77505
14110	77510
13110	77515
13110	77520
13110	78000
14110	78005
14110	78010
14110	78100
14110	78105
14110	78110
14110	78115
14110	78120
13110	78200
13110	78205
13110	78210
13110	78300
13110	78305
13110	78310
13110	78315
13110	78320
13100	80001
13100	80002
13100	80003
13100	80004
13100	80005
13100	81001
13100	81002
13100	81003
13100	81004
13100	81005
13100	82001
13100	82002
13100	82003
13100	82004
13100	82005
13100	82006
13100	82007
13100	82008
13100	82009
13100	82010
13100	82011
13100	82012
13100	82013
13100	82014
13100	82015
13100	82016
13100	82017
13100	82018
13100	82019
13100	83001
13100	83002
13100	83003
13100	83004
13100	83005
13100	83006
13100	83007
13100	83008
13100	83009
13100	83010
13100	83011
13100	83012
13100	83013
13100	83014
13100	83015
13100	83016
13100	83017
13100	83018
13100	83019
13100	83020
13100	83021
13100	83022
13100	83023
13100	83999
13100	84001
13100	84002
13100	84003
13100	84004
13100	84005
13100	85001
13100	85002
13100	85003
13100	85004
13100	85005
13100	85006
13100	85007
13100	85008
13100	85009
13100	85010
13100	85011
13100	85012
13100	85013
13100	85014
13100	85015
13100	85016
13100	85501
13100	85502
13100	86001
13100	86002
13100	87001
13100	87002
13100	87003
13100	88001
13100	88002
13100	88003
13100	98002
13100	98003
13100	98004
13100	99001
13100	99002
13100	99003
13100	99004
13100	Claims
13100	COSTTRF
13110	COSTTRF-OH
13120	LANDCR
13100	WIPCR
14110	WIPCR BC
13110	WIPCR-OH
13100	98005
13100	98006
14110	77525
13100	48200
13100	75055
13100	98001
