,Legal entity code,Account,Amount,Date,Reference,Text,link,Transactiontype,Transactionamount,Currencycode
0,6005,13100,-0.0,2021-01-11 12:22:40.030513,54005,Conveyancing,,70,-0.0,
1,6005,13100,0.0,2021-01-11 12:22:40.030513,71105,Construction Claims - External,,70,0.0,
2,6005,13100,0.0,2021-01-11 12:22:40.030513,71110,Construction Claims - Internal,,70,0.0,
3,6005,13100,0.0,2021-01-11 12:22:40.030513,75005,Accessibility Consultant,,70,0.0,
4,6005,13100,0.0,2021-01-11 12:22:40.030513,75010,Acoustic,,70,0.0,
5,6005,13100,0.0,2021-01-11 12:22:40.030513,75015,Arborist,,70,0.0,
6,6005,13100,-0.0,2021-01-11 12:22:40.030513,75020,Architect,,70,-0.0,
7,6005,13100,0.0,2021-01-11 12:22:40.030513,75025,Certifier,,70,0.0,
8,6005,13100,0.0,2021-01-11 12:22:40.030513,75030,Community Consult,,70,0.0,
9,6005,13100,-0.0,2021-01-11 12:22:40.030513,75035,Government Fees - Devt. Application,,70,-0.0,
10,6005,13100,0.0,2021-01-11 12:22:40.030513,75040,Energy Consultant,,70,0.0,
11,6005,13100,0.0,2021-01-11 12:22:40.030513,75045,EER Consultant,,70,0.0,
12,6005,13100,0.0,2021-01-11 12:22:40.030513,75050,Heritage consultants,,70,0.0,
13,6005,13100,0.0,2021-01-11 12:22:40.030513,75055,Environmental Consultant,,70,0.0,
14,6005,13100,0.0,2021-01-11 12:22:40.030513,75065,Landscape Architect,,70,0.0,
15,6005,13100,0.0,2021-01-11 12:22:40.030513,75070,Other Professional Fees / Consultants,,70,0.0,
16,6005,13100,-0.0,2021-01-11 12:22:40.030513,75075,Cost Plan / Quantity Surveyor,,70,-0.0,
17,6005,13100,0.0,2021-01-11 12:22:40.030513,75080,Engineer - Electrical,,70,0.0,
18,6005,13100,0.0,2021-01-11 12:22:40.030513,75085,Engineer - Hydraulic,,70,0.0,
19,6005,13100,0.0,2021-01-11 12:22:40.030513,75095,Engineer - Civil,,70,0.0,
20,6005,13100,0.0,2021-01-11 12:22:40.030513,75100,Engineer- Structural,,70,0.0,
21,6005,13100,0.0,2021-01-11 12:22:40.030513,75105,Surveyor,,70,0.0,
22,6005,13100,-4000.0,2021-01-11 12:22:40.030513,75110,Sustainability,,70,-4000.0,
23,6005,13100,0.0,2021-01-11 12:22:40.030513,75115,Town Planner (Statutory),,70,0.0,
24,6005,13100,0.0,2021-01-11 12:22:40.030513,75120,Traffic Engineer,,70,0.0,
25,6005,13100,-0.0,2021-01-11 12:22:40.030513,75125,Valuation Fees,,70,-0.0,
26,6005,13100,0.0,2021-01-11 12:22:40.030513,75130,Wind Report,,70,0.0,
27,6005,13100,3912.08,2021-01-11 12:22:40.030513,80001,Building Wrap,,70,3912.08,
28,6005,13100,0.0,2021-01-11 12:22:40.030513,80004,Hoarding - signage,,70,0.0,
29,6005,13100,0.0,2021-01-11 12:22:40.030513,80005,Signage,,70,0.0,
30,6005,13100,0.0,2021-01-11 12:22:40.030513,81001,Disp Suite Furnish,,70,0.0,
31,6005,13100,0.0,2021-01-11 12:22:40.030513,81002,Retail Shop - F/out,,70,0.0,
32,6005,13100,1240.0,2021-01-11 12:22:40.030513,81003,Sales Suite - F/Out,,70,1240.0,
33,6005,13100,0.0,2021-01-11 12:22:40.030513,81004,Sales suite - technology,,70,0.0,
34,6005,13100,0.0,2021-01-11 12:22:40.030513,81005,Shopping Centre Pop Ups,,70,0.0,
35,6005,13100,-0.0,2021-01-11 12:22:40.030513,82001,3D interactive model,,70,-0.0,
36,6005,13100,0.0,2021-01-11 12:22:40.030513,82002,3D Renders,,70,0.0,
37,6005,13100,-0.0,2021-01-11 12:22:40.030513,82003,Adhoc Creativ agency,,70,-0.0,
38,6005,13100,0.0,2021-01-11 12:22:40.030513,82004,Adhoc printing,,70,0.0,
39,6005,13100,0.0,2021-01-11 12:22:40.030513,82005,Brightfox/Apps,,70,0.0,
40,6005,13100,0.0,2021-01-11 12:22:40.030513,82006,Brochure,,70,0.0,
41,6005,13100,0.0,2021-01-11 12:22:40.030513,82007,Campaign image,,70,0.0,
42,6005,13100,0.0,2021-01-11 12:22:40.030513,82008,Copy writing,,70,0.0,
43,6005,13100,-0.0,2021-01-11 12:22:40.030513,82009,Investment Report,,70,-0.0,
44,6005,13100,0.0,2021-01-11 12:22:40.030513,82010,Model,,70,0.0,
45,6005,13100,0.0,2021-01-11 12:22:40.030513,82011,Photography,,70,0.0,
46,6005,13100,-0.0,2021-01-11 12:22:40.030513,82012,Project Film Production,,70,-0.0,
47,6005,13100,0.0,2021-01-11 12:22:40.030513,82013,Project management,,70,0.0,
48,6005,13100,0.0,2021-01-11 12:22:40.030513,82014,Promotional Collater,,70,0.0,
49,6005,13100,0.0,2021-01-11 12:22:40.030513,82015,Strategy/Concept/Nam,,70,0.0,
50,6005,13100,0.0,2021-01-11 12:22:40.030513,82016,Talk Book,,70,0.0,
51,6005,13100,-0.0,2021-01-11 12:22:40.030513,82017,TVC&Cinema productn,,70,-0.0,
52,6005,13100,0.0,2021-01-11 12:22:40.030513,82019,Website,,70,0.0,
53,6005,13100,4240.0,2021-01-11 12:22:40.030513,83001,Realestate website listings,,70,4240.0,
54,6005,13100,4741.0,2021-01-11 12:22:40.030513,83002,Cinema - local,,70,4741.0,
55,6005,13100,18875.0,2021-01-11 12:22:40.030513,83003,Community awareness,,70,18875.0,
56,6005,13100,-0.0,2021-01-11 12:22:40.030513,83004,Creative Agency Fee,,70,-0.0,
57,6005,13100,0.0,2021-01-11 12:22:40.030513,83005,Digital - local,,70,0.0,
58,6005,13100,0.0,2021-01-11 12:22:40.030513,83006,Digital - Metro,,70,0.0,
59,6005,13100,0.0,2021-01-11 12:22:40.030513,83008,DL flyer print and distribution,,70,0.0,
60,6005,13100,0.0,2021-01-11 12:22:40.030513,83009,EDM - Metro,,70,0.0,
61,6005,13100,-0.0,2021-01-11 12:22:40.030513,83010,Google and digital search engine,,70,-0.0,
62,6005,13100,18000.0,2021-01-11 12:22:40.030513,83012,Print media - local,,70,18000.0,
63,6005,13100,0.0,2021-01-11 12:22:40.030513,83015,Print media-Cultural,,70,0.0,
64,6005,13100,-0.0,2021-01-11 12:22:40.030513,83017,Social media,,70,-0.0,
65,6005,13100,14019.98,2021-01-11 12:22:40.030513,83018,TV - local,,70,14019.98,
66,6005,13100,16406.11,2021-01-11 12:22:40.030513,83019,TV - Regional,,70,16406.11,
67,6005,13100,-0.0,2021-01-11 12:22:40.030513,83020,Wechat/Chinese website,,70,-0.0,
68,6005,13100,-0.0,2021-01-11 12:22:40.030513,84002,Investor/FHB events,,70,-0.0,
69,6005,13100,0.0,2021-01-11 12:22:40.030513,84003,Market release event,,70,0.0,
70,6005,13100,0.0,2021-01-11 12:22:40.030513,85001,Digital Advertising,,70,0.0,
71,6005,13100,0.0,2021-01-11 12:22:40.030513,85003,Marketing Plans,,70,0.0,
72,6005,13100,0.0,2021-01-11 12:22:40.030513,85006,Print Advertising,,70,0.0,
73,6005,13100,0.0,2021-01-11 12:22:40.030513,85011,Release events - Ext agents,,70,0.0,
74,6005,13100,-0.0,2021-01-11 12:22:40.030513,85012,Direct Events - External agents,,70,-0.0,
75,6005,13100,0.0,2021-01-11 12:22:40.030513,85014,Subscriptions,,70,0.0,
76,6005,13100,0.0,2021-01-11 12:22:40.030513,85015,Collateral for External Agent,,70,0.0,
77,6005,13100,0.0,2021-01-11 12:22:40.030513,85501,Internal Sales Business Marketing,,70,0.0,
78,6005,13100,-0.0,2021-01-11 12:22:40.030513,85502,Internal Sales Agent Branded Marketing,,70,-0.0,
79,6005,13100,0.0,2021-01-11 12:22:40.030513,86001,Brand Ambassador/Partnerships,,70,0.0,
80,6005,13100,0.0,2021-01-11 12:22:40.030513,87001,EDM - campaign monitor fees,,70,0.0,
81,6005,13100,1754.45,2021-01-11 12:22:40.030513,88002,Cost recovery,,70,1754.45,
82,6005,13100,0.0,2021-01-11 12:22:40.030513,99001,Administrative Fees,,70,0.0,
83,6005,13100,-0.0,2021-01-11 12:22:40.030513,99004,Misc Expenses,,70,-0.0,
84,6005,13100,-53012.36,2021-01-11 12:22:40.030513,COSTTRF,Development costs,,70,-53012.36,
85,6005,13100,0.0,2021-01-11 12:22:40.030513,Claims,Claims,,70,0.0,
86,6005,13100,-0.0,2021-01-11 12:22:40.030513,WIPCR,WIPCR,,70,-0.0,
87,6005,13110,0.0,2021-01-11 12:22:40.030513,77500,Legal Fees - General,,70,0.0,
88,6005,13110,0.0,2021-01-11 12:22:40.030513,77520,Legal Fees - Rescinded Contracts,,70,0.0,
